capt.ID	season	year	visit	cave	length
C98B3B	june	2016	1	C11	110
C98B3B	june	2016	2	C11	114
C98B3B	august	2016	1	C11	124
C98B3B	august	2016	2	C11	121
C98B3B	august	2017	1	C11	129
C98B3B	august	2017	2	C11	130
C98EE3	august	2012	1	C11	74
C98F83	august	2012	1	C11	114
C98F83	june	2014	1	C11	121
C98F83	august	2012	1	C11	121
C98F83	june	2016	2	C11	124
052732	august	2016	2	C12	126
052732	june	2014	2	C12	110
052732	june	2017	2	C12	130
053165	august	2015	NA	C12	94
053165	august	2016	2	C12	100
053165	june	2014	2	C12	72
053165	june	2017	2	C12	102
053171	august	2015	NA	C12	115
053171	june	2014	2	C12	105
053171	june	2017	2	C12	124
053186	june	2014	2	C12	120
053355	june	2014	1	C12	68
053355	june	2015	1	C12	92
053355	june	2015	1	C12	89
053355	august	2015	NA	C12	100
053355	june	2016	1	C12	105
053368	june	2014	1	C12	69
053368	june	2015	1	C12	89
053368	august	2015	NA	C12	94
053400	june	2014	1	C12	74
4EDF07	august	2013	1	C10	113
053400	august	2015	NA	C12	98
053400	august	2016	1	C12	112
053400	june	2017	2	C12	113
053400	august	2017	1	C12	124
053946	august	2014	1	C12	121
053946	august	2015	NA	C12	126
053946	june	2015	2	C12	122
123822	august	2017	2	C12	50
655123	august	2015	NA	C12	139
655123	june	2016	1	C12	138
655175	august	2015	NA	C12	135
655175	june	2016	2	C12	NA
655262	june	2015	1	C12	91
655262	august	2015	NA	C12	98
655262	june	2016	1	C12	102
655262	august	2016	2	C12	108
655262	june	2017	2	C12	114
655262	august	2017	1	C12	123
655262	august	2017	2	C12	123
655267	june	2015	1	C12	85
655347	june	2016	1	C12	109
655347	june	2017	1	C12	NA
655354	june	2016	1	C12	68
655354	june	2016	2	C12	65
655354	august	2016	1	C12	75
655354	june	2017	1	C12	92
655354	june	2017	2	C12	95
655387	june	2016	1	C12	88
655387	august	2016	2	C12	93
655387	june	2017	2	C12	99
655387	august	2017	1	C12	105
655387	august	2017	2	C12	106
655442	june	2015	1	C12	72
655442	august	2015	NA	C12	78
655442	june	2016	1	C12	87
655442	june	2016	2	C12	89
655442	august	2016	1	C12	95
655442	june	2017	2	C12	104
655443	june	2016	1	C12	58
655456	june	2015	1	C12	107
655456	august	2015	NA	C12	114
655456	august	2015	NA	C12	113
655456	june	2016	1	C12	116
655456	june	2015	2	C12	107
655457	august	2016	2	C12	78
655457	june	2017	2	C12	88
9536512	august	2015	NA	C12	55
9536512	august	2015	NA	C12	55
9799936	june	2015	2	C12	56
187D27	august	2015	NA	C12	129
187D27	june	2016	1	C12	129
187D27	june	2015	2	C12	125
4ED087	june	2014	2	C12	108
4EDB39	august	2012	1	C12	155
4EDED0	august	2012	1	C12	118
4EDF34	june	2014	1	C12	109
4EDF34	august	2012	1	C12	110
4EDF07	june	2013	2	C10	112
4EDF34	august	2014	1	C12	112
4EDF34	june	2016	1	C12	113
4EDF32	august	2013	1	C10	117
4EDF34	june	2016	2	C12	115
4EDF34	august	2016	1	C12	115
4EDF34	august	2016	2	C12	116
4EE293	august	2012	2	C12	62
4EE293	august	2014	1	C12	91
4EE293	august	2015	NA	C12	106
4EE293	august	2015	NA	C12	106
4EE293	june	2014	2	C12	84
4EE293	june	2017	2	C12	110
4EE2BF	august	2012	2	C12	106
4EE2C5	august	2012	1	C12	111
4EE2DC	august	2012	1	C12	125
4EE2DC	august	2014	1	C12	125
4EE2DC	august	2015	NA	C12	126
4EE2DC	june	2016	1	C12	125
4EE2DC	august	2016	2	C12	126
4EE40B	august	2015	NA	C12	111
4EE40B	august	2015	NA	C12	111
4EE40B	june	2014	2	C12	103
4EE40B	june	2015	2	C12	110
4EE476	august	2012	2	C12	115
4EE532	august	2012	2	C12	98
4EE532	june	2014	2	C12	100
4EE578	august	2012	2	C12	101
4EE787	august	2012	2	C12	96
4EE803	august	2012	1	C12	115
4EE80C	august	2012	1	C12	117
4EE80F	august	2012	2	C12	91
4EE942	june	2015	1	C12	122
