number	filename	ID	season	year	cave	label	nonatec	tag
22	'IMG_0609.JPG'	CAL12-0281	june	2012	C20	CAL12-0281	NA	NA
23	'IMG_0610.JPG'	CAL12-0283	june	2012	C20	CAL12-0283	NA	NA
24	'IMG_0611.JPG'	CAL12-0284	june	2012	C20	CAL12-0284	NA	NA
25	'IMG_0612.JPG'	CAL12-0285	june	2012	C20	CAL12-0285	NA	NA
1	'IMG_0535.JPG'	CAL12-0213	june	2012	C21	CAL12-0213	NA	NA
2	'IMG_0536.JPG'	CAL12-0214	june	2012	C21	CAL12-0214	NA	NA
3	'IMG_0537.JPG'	CAL12-0215	june	2012	C21	CAL12-0215	NA	NA
4	'IMG_0538.JPG'	CAL12-0216	june	2012	C21	CAL12-0216	NA	NA
5	'IMG_0540.JPG'	CAL12-0217	june	2012	C21	CAL12-0217	NA	NA
6	'IMG_0541.JPG'	CAL12-0218	june	2012	C21	CAL12-0218	NA	NA
7	'IMG_0543.JPG'	CAL12-0219	june	2012	C21	CAL12-0219	NA	NA
8	'IMG_0544.JPG'	CAL12-0220	june	2012	C21	CAL12-0220	NA	NA
9	'IMG_0546.JPG'	CAL12-0221	june	2012	C21	CAL12-0221	NA	NA
10	'IMG_0547.JPG'	CAL12-0222	june	2012	C21	CAL12-0222	NA	NA
11	'IMG_0550.JPG'	CAL12-0223	june	2012	C21	CAL12-0223	NA	NA
12	'IMG_0668.JPG'	CAL12-0341	june	2012	C21	CAL12-0341	NA	NA
13	'IMG_0669.JPG'	CAL12-0342	june	2012	C21	CAL12-0342	NA	NA
14	'IMG_0671.JPG'	CAL12-0343	june	2012	C21	CAL12-0343	NA	NA
15	'IMG_0673.JPG'	CAL12-0344	june	2012	C21	CAL12-0344	NA	NA
16	'IMG_0674.JPG'	CAL12-0345	june	2012	C21	CAL12-0345	NA	NA
17	'IMG_0675.JPG'	CAL12-0346	june	2012	C21	CAL12-0346	NA	NA
18	'IMG_0676.JPG'	CAL12-0347	june	2012	C21	CAL12-0347	NA	NA
19	'IMG_0679.JPG'	CAL12-0348	june	2012	C21	CAL12-0348	NA	NA
20	'IMG_0681.JPG'	CAL12-0349	june	2012	C21	CAL12-0349	NA	NA
21	'IMG_0682.JPG'	CAL12-0350	june	2012	C21	CAL12-0350	NA	NA
22	'IMG_0683.JPG'	CAL12-0351	june	2012	C21	CAL12-0351	NA	NA
1	'IMG_0754.JPG'	CAL12-0411	june	2012	C22	CAL12-0411	NA	NA
2	'IMG_0756.JPG'	CAL12-0412	june	2012	C22	CAL12-0412	NA	NA
3	'IMG_0758.JPG'	CAL12-0413	june	2012	C22	CAL12-0413	NA	NA
4	'IMG_0759.JPG'	CAL12-0414	june	2012	C22	CAL12-0414	NA	NA
5	'IMG_0762.JPG'	CAL12-0415	june	2012	C22	CAL12-0415	NA	NA
6	'IMG_0763.JPG'	CAL12-0418	june	2012	C22	CAL12-0418	NA	NA
7	'IMG_0764.JPG'	CAL12-0419	june	2012	C22	CAL12-0419	NA	NA
8	'IMG_0765.JPG'	CAL12-0420	june	2012	C22	CAL12-0420	NA	NA
9	'IMG_0766.JPG'	CAL12-0421	june	2012	C22	CAL12-0421	NA	NA
10	'IMG_0767.JPG'	CAL12-0422	june	2012	C22	CAL12-0422	NA	NA
11	'IMG_0770.JPG'	CAL12-0423	june	2012	C22	CAL12-0423	NA	NA
12	'IMG_0771.JPG'	CAL12-0424	june	2012	C22	CAL12-0424	NA	NA
13	'IMG_0772.JPG'	CAL12-0425	june	2012	C22	CAL12-0425	NA	NA
14	'IMG_0773.JPG'	CAL12-0426	june	2012	C22	CAL12-0426	NA	NA
15	'IMG_0774.JPG'	CAL12-0427	june	2012	C22	CAL12-0427	NA	NA
16	'IMG_0775.JPG'	CAL12-0428	june	2012	C22	CAL12-0428	NA	NA
17	'IMG_0776.JPG'	CAL12-0429	june	2012	C22	CAL12-0429	NA	NA
18	'IMG_0777.JPG'	CAL12-0430	june	2012	C22	CAL12-0430	NA	NA
19	'IMG_0778.JPG'	CAL12-0431	june	2012	C22	CAL12-0431	NA	NA
20	'IMG_0779.JPG'	CAL12-0434	june	2012	C22	CAL12-0434	NA	NA
21	'IMG_0780.JPG'	CAL12-0435	june	2012	C22	CAL12-0435	NA	NA
22	'IMG_0781.JPG'	CAL12-0436	june	2012	C22	CAL12-0436	NA	NA
23	'IMG_0782.JPG'	CAL12-0438	june	2012	C22	CAL12-0438	NA	NA
24	'IMG_0783.JPG'	CAL12-0439	june	2012	C22	CAL12-0439	NA	NA
25	'IMG_0785.JPG'	CAL12-0440	june	2012	C22	CAL12-0440	NA	NA
26	'IMG_0786.JPG'	CAL12-0441	june	2012	C22	CAL12-0441	NA	NA
27	'IMG_0787.JPG'	CAL12-0442	june	2012	C22	CAL12-0442	NA	NA
28	'IMG_0788.JPG'	CAL12-0443	june	2012	C22	CAL12-0443	NA	NA
29	'IMG_0789.JPG'	CAL12-0444	june	2012	C22	CAL12-0444	NA	NA
30	'IMG_0790.JPG'	CAL12-0445	june	2012	C22	CAL12-0445	NA	NA
31	'IMG_0791.JPG'	CAL12-0446	june	2012	C22	CAL12-0446	NA	NA
32	'IMG_0792.JPG'	CAL12-0447	june	2012	C22	CAL12-0447	NA	NA
