"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"	"date"	"codedate"
"5437"	"5"	"IMG_0115.JPG"	"897967"	"august"	"2016"	"C7"	"CAL16-3039"	"8039552"	"897967"	"2016-2-august"	10
"6596"	"17"	"IMG_2942.JPG"	"897967"	"august"	"2017"	"C25"	"CAL16-3039"	"8039552"	"897967"	"2017-2-august"	12
"5442"	"10"	"IMG_0127.JPG"	"897869"	"august"	"2016"	"C7"	"CAL16-3040"	"7938816"	"897869"	"2016-2-august"	10
"5952"	"25"	"IMG_2404.JPG"	"897869"	"june"	"2017"	"C7"	"CAL16-3040"	"7938816"	"897869"	"2017-1-june"	11
"6359"	"5"	"IMG_2900.JPG"	"897869"	"august"	"2017"	"C7"	"CAL16-3040"	"7938816"	"897869"	"2017-2-august"	12
"5070"	"7"	"IMG_9410.JPG"	"158523"	"june"	"2016"	"C18"	NA	"0839040"	"158523"	"2016-1-june"	9
"5536"	"3"	"IMG_0038.JPG"	"158523"	"august"	"2016"	"C18"	NA	"0839040"	"158523"	"2016-2-august"	10
"4459"	"15"	"IMG_7719.JPG"	"158523"	"august"	"2015"	"C18"	NA	"0839040"	"158523"	"2015-2-august"	8
"5397"	"11"	"IMG_9973.JPG"	"655473"	"august"	"2016"	"C2"	NA	"0987520"	"655473"	"2016-2-august"	10
"5893"	"10"	"IMG_2327.JPG"	"655473"	"june"	"2017"	"C2"	NA	"0987520"	"655473"	"2017-1-june"	11
"6308"	"1"	"IMG_2868.JPG"	"655473"	"august"	"2017"	"C2"	NA	"0987520"	"655473"	"2017-2-august"	12
"4251"	"13"	"IMG_7007.JPG"	"655473"	"august"	"2015"	"C2"	NA	"0987520"	"655473"	"2015-2-august"	8
"5013"	"15"	"IMG_9342.JPG"	"158509"	"june"	"2016"	"C11"	NA	"1275648"	"158509"	"2016-1-june"	9
"5912"	"14"	"IMG_2366.JPG"	"897816"	"june"	"2017"	"C5"	NA	"3895296"	"897816"	"2017-1-june"	11
"6351"	"28"	"IMG_3183.JPG"	"897816"	"august"	"2017"	"C5"	NA	"3895296"	"897816"	"2017-2-august"	12
"5386"	"14"	"IMG_9972.JPG"	"655338"	"august"	"2016"	"C1"	NA	"4018944"	"655338"	"2016-2-august"	10
"6304"	"9"	"IMG_2866.JPG"	"655338"	"august"	"2017"	"C1"	NA	"4018944"	"655338"	"2017-2-august"	12
"5679"	"25"	"IMG_0163.JPG"	"897826"	"august"	"2016"	"C25"	NA	"7412864"	"897826"	"2016-2-august"	10
"6219"	"92"	"IMG_2473.JPG"	"897883"	"june"	"2017"	"C25"	NA	"7517184"	"897883"	"2017-1-june"	11
"6695"	"116"	"IMG_3251.JPG"	"897883"	"august"	"2017"	"C25"	NA	"7517184"	"897883"	"2017-2-august"	12
"4316"	"17"	"IMG_7149.JPG"	"897883"	"august"	"2015"	"C7"	NA	"7517184"	"897883"	"2015-2-august"	8
"5682"	"28"	"IMG_0167.JPG"	"897797"	"august"	"2016"	"C25"	NA	"7759360"	"897797"	"2016-2-august"	10
"6143"	"16"	"IMG_2072.JPG"	"897797"	"june"	"2017"	"C25"	NA	"7759360"	"897797"	"2017-1-june"	11
"5380"	"8"	"IMG_9534.JPG"	"158535"	"august"	"2016"	"C1"	NA	"8041344"	"158535"	"2016-2-august"	10
"4252"	"14"	"IMG_7008.JPG"	"158535"	"august"	"2015"	"C2"	NA	"8041344"	"158535"	"2015-2-august"	8
"5887"	"4"	"IMG_2005.JPG"	"158535"	"june"	"2017"	"C2"	NA	NA	"158535"	"2017-1-june"	11
"5201"	"33"	"IMG_5539.jpg"	"655346"	"june"	"2016"	"C25"	NA	"8975232"	"655346"	"2016-1-june"	9
"5673"	"19"	"IMG_0155.JPG"	"655346"	"august"	"2016"	"C25"	NA	"8975232"	"655346"	"2016-2-august"	10
