"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"299" "4EE3FA" "august" "2013" 1 "C1" 115 NA
"300" "C97FDC" "august" "2014" 1 "C10" 116 NA
"301" "C98C09" "august" "2014" 1 "C10" 110 NA
"302" "4EE3FA" "june" "2013" 2 "C1" 112 NA
"303" "C98C09" "august" "2012" 1 "C10" 100 NA
"304" "4EE902" "august" "2013" 1 "C1" 140 NA
"305" "C98C09" "august" "2015" NA "C10" 111.5 NA
"306" "C98CC7" "august" "2015" NA "C10" 115 NA
"307" "C98CC7" "august" "2014" 1 "C10" 110 NA
"308" "C98D32" "august" "2012" 1 "C10" 92 NA
"309" "C98D32" "june" "2016" 1 "C10" 109 NA
"310" "C98D32" "august" "2014" 1 "C10" 99 NA
"311" "C98F33" "june" "2015" 1 "C10" 103 NA
"312" "C98F33" "august" "2015" NA "C10" 105 NA
"313" "052720" "june" "2014" 2 "C11" 72 NA
"314" "052720" "august" "2015" NA "C11" 90 NA
"315" "052720" "june" "2016" 1 "C11" 96 NA
"316" "052720" "august" "2017" 1 "C11" 113 NA
"317" "052773" "august" "2014" 1 "C11" 113 NA
"318" "052778" "august" "2014" 1 "C11" 79 NA
"319" "052778" "august" "2015" NA "C11" 87 NA
"320" "052778" "august" "2016" 2 "C11" 99 NA
"321" "052778" "june" "2017" 1 "C11" 106 NA
"322" "052778" "august" "2017" 1 "C11" 114.5 NA
"323" "052826" "june" "2014" 2 "C11" 106 NA
"324" "052840" "june" "2014" 2 "C11" 73 NA
"325" "052840" "june" "2015" 1 "C11" 83 NA
"326" "052840" "june" "2016" 2 "C11" 98 NA
"327" "052840" "august" "2016" 1 "C11" 102 NA
"328" "4EE013" "august" "2013" 1 "C1" 120 NA
"329" "052840" "august" "2016" 2 "C11" 103 NA
"330" "052859" "june" "2014" 2 "C11" 68 NA
"331" "4EF922" "august" "2013" 1 "C1" 122 NA
"332" "052873" "june" "2014" 2 "C11" 105 NA
"333" "052873" "august" "2014" 1 "C11" 105 NA
"334" "052873" "june" "2015" 2 "C11" 106 NA
"335" "052873" "june" "2016" 1 "C11" 108 NA
"336" "052891" "august" "2014" 1 "C11" 105 NA
"337" "052891" "june" "2015" 1 "C11" 106 NA
"338" "052891" "june" "2015" 2 "C11" 106 NA
"339" "052891" "august" "2015" NA "C11" 107 NA
"340" "052899" "august" "2014" 1 "C11" 117 NA
"341" "052928" "june" "2016" 1 "C11" 48 NA
"342" "052961" "august" "2015" NA "C11" 85 NA
"343" "052961" "august" "2016" 1 "C11" 101.5 NA
"344" "052961" "august" "2014" 1 "C11" 70 NA
"345" "052961" "june" "2017" 1 "C11" 108 NA
"346" "053308" "june" "2014" 2 "C11" 114 NA
"347" "053308" "june" "2015" 1 "C11" 113.5 NA
"348" "6DA1A7" "june" "2013" 1 "C1" 52 NA
"349" "053308" "august" "2016" 1 "C11" 125 NA
"350" "C964B6" "august" "2013" 2 "C1" 113 NA
"351" "053308" "august" "2014" 1 "C11" 115 NA
"352" "053308" "june" "2017" 2 "C11" 132 NA
"353" "053308" "august" "2017" 1 "C11" 138 NA
"354" "053310" "june" "2014" 2 "C11" 68 NA
"355" "053310" "june" "2015" 2 "C11" 85 NA
"356" "053310" "august" "2015" NA "C11" 93 NA
"357" "053310" "august" "2016" 1 "C11" 112 NA
"358" "053310" "june" "2017" 1 "C11" 117 NA
"359" "053310" "august" "2017" 1 "C11" 121 NA
"360" "053414" "june" "2014" 1 "C11" 86 NA
"361" "053414" "june" "2015" 1 "C11" 96 NA
"362" "053414" "august" "2016" 1 "C11" 110 NA
"363" "053414" "august" "2014" 1 "C11" 91 NA
"364" "053414" "june" "2017" 1 "C11" 117 NA
"365" "053414" "august" "2017" 2 "C11" 126 NA
"366" "123857" "august" "2017" 1 "C11" 59.5 NA
"367" "123943" "august" "2017" 2 "C11" 61 NA
"368" "158502" "june" "2016" 2 "C11" 99 NA
"369" "158509" "june" "2016" 2 "C11" 72 NA
"370" "158541" "june" "2017" 1 "C11" 75 NA
"371" "158555" "august" "2017" 1 "C11" 95 NA
"372" "655100" "june" "2016" 1 "C11" 72 NA
"373" "655100" "june" "2016" 2 "C11" 73 NA
"374" "655100" "august" "2016" 2 "C11" 83 NA
"375" "655100" "august" "2017" 1 "C11" 105 NA
"376" "655229" "august" "2015" NA "C11" 67 NA
"377" "655229" "june" "2016" 2 "C11" 77 NA
"378" "C971B4" "august" "2013" 1 "C1" 106 NA
"379" "C974EE" "august" "2013" 1 "C1" 125 NA
"380" "655229" "august" "2016" 1 "C11" 87 NA
"381" "C97F47" "august" "2013" 1 "C1" 113 NA
"382" "C9868D" "august" "2013" 1 "C1" 128 NA
"383" "655229" "june" "2017" 2 "C11" 98 NA
"384" "655289" "june" "2015" 2 "C11" 78 NA
"385" "655289" "august" "2015" NA "C11" 83.5 NA
"386" "655289" "june" "2016" 2 "C11" 95 NA
"387" "655289" "june" "2017" 1 "C11" 108 NA
"388" "655312" "august" "2015" NA "C11" 76 NA
"389" "655351" "june" "2015" 1 "C11" 114.5 NA
"390" "655373" "june" "2015" 1 "C11" 128 NA
"391" "655381" "june" "2016" 1 "C11" 117 NA
"392" "C98F91" "august" "2013" 1 "C1" 99 NA
"393" "655385" "june" "2016" 1 "C11" 49 NA
"394" "655403" "august" "2015" NA "C11" 70 NA
"395" "655403" "august" "2016" 1 "C11" 94 NA
"396" "655404" "june" "2015" 1 "C11" 67 NA
